Name,Address,Contact,Map Link,rating,No of reviews,Social media / website,Menu Link,Restaurant Keyword,Restaurant Speciality
Andy's Pizza,Bulevardul Mircea cel Bătrîn 4/4,+37(322)265414,https://www.google.com/maps/place/Andy%27s+Pizza/data=!4m7!3m6!1s0x40c97d2b70ded63b:0xdf3a4adc63598827!8m2!3d47.0393979!4d28.8905501!16s%2Fg%2F11tf697ypl!19sChIJO9becCt9yUARJ4hZY9xKOt8?authuser=0&hl=ru&rclk=1,4.3,170,https://andys.md/ro,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Pizza,Bulevardul Dacia 44,+37(322)210210,https://www.google.com/maps/place/Andy%27s+Pizza/data=!4m7!3m6!1s0x40c979475f55aa81:0x546f701f27ebf13d!8m2!3d46.9772008!4d28.8692144!16s%2Fg%2F1tmqpwjn!19sChIJgapVX0d5yUARPfHrJx9wb1Q?authuser=0&hl=ru&rclk=1,4.4,3 120,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Pizza №9,Strada Calea Ieşilor 10,378 22 211 210,https://www.google.com/maps/place/Andy%27s+Pizza+%E2%84%969/data=!4m7!3m6!1s0x40c97d9375c2d151:0x97d2c10d24c06e12!8m2!3d47.0407832!4d28.8005352!16s%2Fg%2F1tgf1qtk!19sChIJUdHCdZN9yUAREm7AJA3B0pc?authuser=0&hl=ru&rclk=1,4.3,2 498,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant,Strada Pușkin 32,+37(322)210210,https://www.google.com/maps/place/Andy%27s+Restaurant/data=!4m7!3m6!1s0x40c97c3686d799ed:0xd8c43f4d1e6fd25d!8m2!3d47.0254991!4d28.8371851!16s%2Fg%2F11bws8kmxb!19sChIJ7ZnXhjZ8yUARXdJvHk0_xNg?authuser=0&hl=ru&rclk=1,4.4,6 156,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N1,Bulevardul Ștefan cel Mare și Sfînt 152,377 22 211 210,https://www.google.com/maps/place/Andy%27s+Restaurant+N1/data=!4m7!3m6!1s0x40c97dcb2825065d:0x69ee22668c7f9b06!8m2!3d47.0277809!4d28.8295167!16s%2Fg%2F11b7m9gygq!19sChIJXQYlKMt9yUARBpt_jGYi7mk?authuser=0&hl=ru&rclk=1,4.4,5 079,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N12,Strada Alba Iulia 23/4,389 22 211 210,https://www.google.com/maps/place/Andy%27s+Restaurant+N12/data=!4m7!3m6!1s0x40c97df75989188f:0xad0fe246b5a9e744!8m2!3d47.035008!4d28.7757375!16s%2Fg%2F11rdhpw82!19sChIJjxiJWfd9yUARROeptUbiD60?authuser=0&hl=ru&rclk=1,4.2,1 997,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N13,Strada Nicolae Zelinski 35,373 22 265 414,https://www.google.com/maps/place/Andy%27s+Restaurant+N13/data=!4m7!3m6!1s0x40c9794be7eb2f49:0x1df0d24aeb80978!8m2!3d46.9932199!4d28.8508279!16s%2Fg%2F1w0h6074!19sChIJSS_r50t5yUAReAm4riQN3wE?authuser=0&hl=ru&rclk=1,4.4,1 012,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N15,Strada Cuza Vodă 49/1,384 22 211 210,https://www.google.com/maps/place/Andy%27s+Restaurant+N15/data=!4m7!3m6!1s0x40c97933d14be123:0xefe41f0d61fc7304!8m2!3d46.9748791!4d28.8502825!16s%2Fg%2F1tfrkvrw!19sChIJI-FL0TN5yUARBHP8YQ0f5O8?authuser=0&hl=ru&rclk=1,4.3,1 229,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N19,Strada Gheorghe Asachi 54,385 22 211 210,https://www.google.com/maps/place/Andy%27s+Restaurant+N19/data=!4m7!3m6!1s0x40c97e90668615af:0x42695b2ebf432cb7!8m2!3d47.000161!4d28.8209091!16s%2Fg%2F1tdd_w0y!19sChIJrxWGZpB-yUARtyxDvy5baUI?authuser=0&hl=ru&rclk=1,4.4,2 546,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N24,Bulevardul Mircea cel Bătrîn 12/5,391 22 211 210,https://www.google.com/maps/place/Andy%27s+Restaurant+N24/data=!4m7!3m6!1s0x40c97c8de9a9ecf9:0xd23e6f1e48db1e9e!8m2!3d47.044301!4d28.8911709!16s%2Fg%2F1pp2wzxvv!19sChIJ-eyp6Y18yUARnh7bSB5vPtI?authuser=0&hl=ru&rclk=1,4.3,3 115,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N25,Strada Ceucari 2/8,388 22 211 210,https://www.google.com/maps/place/Andy%27s+Restaurant+N25/data=!4m7!3m6!1s0x40c97d10631cf003:0x4b1b01db486eb418!8m2!3d47.0598069!4d28.8474055!16s%2Fg%2F1tfbg79b!19sChIJA_AcYxB9yUARGLRuSNsBG0s?authuser=0&hl=ru&rclk=1,4.2,1 232,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N30,Bulevardul Moscova 1/2,375 22 211 210,https://www.google.com/maps/place/Andy%27s+Restaurant+N30/data=!4m7!3m6!1s0x40c97ddcf1314959:0x419b786a704c1eb1!8m2!3d47.0449507!4d28.8608985!16s%2Fg%2F11gt8015lc!19sChIJWUkx8dx9yUARsR5McGp4m0E?authuser=0&hl=ru&rclk=1,4.4,1 054,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N31,Strada Ismail 45,383 22 211 210,https://www.google.com/maps/place/Andy%27s+Restaurant+N31/data=!4m7!3m6!1s0x40c97c3cf2b0b91f:0xfda8f329ff81e46f!8m2!3d47.0169883!4d28.8470393!16s%2Fg%2F11c52b2m2h!19sChIJH7mw8jx8yUARb-SB_ynzqP0?authuser=0&hl=ru&rclk=1,4.3,2 471,https://www.andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N33,Bulevardul Ștefan cel Mare și Sfînt 64,380 22 211 210,https://www.google.com/maps/place/Andy%27s+Restaurant+N33/data=!4m7!3m6!1s0x40c97c3b10695605:0x5bfa394c3bc8dc27!8m2!3d47.018178!4d28.8428051!16s%2Fg%2F11b6lm758v!19sChIJBVZpEDt8yUARJ9zIO0w5-ls?authuser=0&hl=ru&rclk=1,4.3,2 959,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N34,Strada Albişoara 80/5A,376 22 211 210,https://www.google.com/maps/place/Andy%27s+Restaurant+N34/data=!4m7!3m6!1s0x40c97db128ad624b:0xf664b5f438f4b522!8m2!3d47.0367279!4d28.8279533!16s%2Fg%2F11b7clp_8n!19sChIJS2KtKLF9yUARIrX0OPS1ZPY?authuser=0&hl=ru&rclk=1,4.3,1 024,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N40,Bulevardul Ștefan cel Mare și Sfînt 77,381 22 211 210,https://www.google.com/maps/place/Andy%27s+Restaurant+N40/data=!4m7!3m6!1s0x40c97c311df174a3:0x211a229aee82bac7!8m2!3d47.0215143!4d28.8365831!16s%2Fg%2F11gfp1bvlx!19sChIJo3TxHTF8yUARx7qC7poiGiE?authuser=0&hl=ru&rclk=1,4.4,2 473,https://www.andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N41,Strada Miron Costin 13/1,379 22 211 210,https://www.google.com/maps/place/Andy%27s+Restaurant+N41/data=!4m7!3m6!1s0x40c97d9637738c75:0xe533742506908375!8m2!3d47.0503703!4d28.8660343!16s%2Fg%2F11frrjvqj8!19sChIJdYxzN5Z9yUARdYOQBiV0M-U?authuser=0&hl=ru&rclk=1,4.3,371,https://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N42,Str. Nicolae Dimo 86,+37(322)210210,https://www.google.com/maps/place/Andy%27s+Restaurant+N42/data=!4m7!3m6!1s0x40c97ff639003985:0x8243f436500be33d!8m2!3d47.0069916!4d28.764317!16s%2Fg%2F11khz34p5k!19sChIJhTkAOfZ_yUARPeMLUDb0Q4I?authuser=0&hl=ru&rclk=1,4.6,74,https://www.andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Restaurant N7,Bulevardul Moscova 6,386 22 211 210,https://www.google.com/maps/place/Andy%27s+Restaurant+N7/data=!4m7!3m6!1s0x40c97cf95cfebb7d:0x5d6410dfdb1ac686!8m2!3d47.0470845!4d28.8637308!16s%2Fg%2F1tf6f48y!19sChIJfbv-XPl8yUARhsYa298QZF0?authuser=0&hl=ru&rclk=1,4.3,2 571,https://www.andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andys Food Market,Bulevardul Dacia 28/1,387 22 211 210,https://www.google.com/maps/place/Andys+Food+Market/data=!4m7!3m6!1s0x40c9794b91ace655:0x4d75b0900203b46!8m2!3d46.984747!4d28.8586358!16s%2Fg%2F11gbxbksbp!19sChIJVeaskUt5yUARRjsgAAlb1wQ?authuser=0&hl=ru&rclk=1,4.5,1 308,https://www.andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Aproape,Strada Nicolae Dimo 1,+37(368)288222,https://www.google.com/maps/place/Aproape/data=!4m7!3m6!1s0x40c97def991491e7:0x2e8d4f45071a81d9!8m2!3d47.0386153!4d28.8589991!16s%2Fg%2F11qnlktqld!19sChIJ55EUme99yUAR2YEaB0VPjS4?authuser=0&hl=en&rclk=1,4.4,456,http://aproape.md/,None,European cuisine,"Breakfast, seafood dishes, wine, meat"
ART KEBAB,"Strada Calea Ieşilor 45, MD-2069, Chișinău, Молдова",+37(379)844199,https://maps.app.goo.gl/q5NBW4js8AkP11iT6,4.5,2,None,None,Fast Food,Kebab
Asian Street,Strada Bulgară 39,+37(369)055002,https://www.google.com/maps/place/Asian+Street/data=!4m7!3m6!1s0x40c97dbb8d8a12ad:0xf9ef1f4ecc876d0f!8m2!3d47.0173445!4d28.8396049!16s%2Fg%2F11kjjqbjhm!19sChIJrRKKjbt9yUARD22HzE4f7_k?authuser=0&hl=ru&rclk=1,4.8,209,https://www.facebook.com/profile.php?id=100089200312913&mibextid=ZbWKwL,None,Asian cuisine,None
Astoria Seafood,"Bulevardul Mircea cel Bătrîn 5/1, MD-2044, Chișinău, Молдова",+37(361)147744,https://maps.app.goo.gl/fj7fdo28SwtTAK467,4.3,72,https://www.instagram.com/astoria.seafood.md?igsh=ZnEybWU0N2UwOGNo,None,Seafood,None
Atlantis Kebab,Strada Mitropolit Varlaam 58,+37(379)109779,https://www.google.com/maps/place/Atlantis+Kebab/data=!4m7!3m6!1s0x40c97d4212bb632b:0xae45de172ed73855!8m2!3d47.019527!4d28.8449786!16s%2Fg%2F11gnpr73kg!19sChIJK2O7EkJ9yUARVTjXLhfeRa4?authuser=0&hl=ru&rclk=1,4.0,46,None,None,Fast Food,"Kebab, Shaverma"
Atypic,"Strada Pușkin 44/1, MD-2005, Chișinău",+37(378)633633,https://maps.app.goo.gl/HpsGa7CAufuM1qZRA,4.6,217,https://www.atypic.online/,None,European cuisine,"Breakfast, soups, salads"
Atypic,"Strada Pușkin 44/1, MD-2005, Chișinău, Молдова",+37(378)633633,https://maps.app.goo.gl/ojmSzLYn96dMpFLZA,4.6,222,https://www.atypic.online/,None,European cuisine,"Breakfast, soups, salads"
Avocado cafe,Strada Ion Creangă 49,+37(360)444588,https://www.google.com/maps/place/Avocado+cafe/data=!4m7!3m6!1s0x40c97ddd67a1da67:0x85d4e9f779ea2673!8m2!3d47.0276817!4d28.7960479!16s%2Fg%2F11f3tk6jvq!19sChIJZ9qhZ919yUARcybqeffp1IU?authuser=0&hl=ru&rclk=1,4.6,166,http://www.facebook.com/avocadoecocafe/,None,Mixed kitchen,Cafeteria
Baf Bulvar,Bulevardul Traian 25,+37(379)979715,https://www.google.com/maps/place/Baf+Bulvar/data=!4m7!3m6!1s0x40c97f8b38d57e43:0x8bd236be7b1ebd26!8m2!3d46.9780181!4d28.8454671!16s%2Fg%2F11mvttdddz!19sChIJQ37VOIt_yUARJr0ee7420os?authuser=0&hl=ru&rclk=1,4.5,358,https://www.facebook.com/Baf-Bulvar-1829048070512113/menu/?ref=page_internal,None,Mixed kitchen,"Cocktails, drinks, wine card"
Barbar,Strada Mihai Eminescu 45,+37(378)513513,https://www.google.com/maps/place/Barbar/data=!4m7!3m6!1s0x40c97c3106e3e711:0xd966364c848bdf4b!8m2!3d47.0210775!4d28.8354293!16s%2Fg%2F11ddwsswt5!19sChIJEefjBjF8yUARS9-LhEw2Ztk?authuser=0&hl=ru&rclk=1,4.3,649,https://www.facebook.com/barbarmd/,None,Bar/beer,None
Barul Teatrului Gastronomic,Bulevardul Ștefan cel Mare și Sfînt 103,None,https://www.google.com/maps/place/Barul+Teatrului+Gastronomic/data=!4m7!3m6!1s0x40c97d8888e6b081:0xa90b3b7afface309!8m2!3d47.0267672!4d28.828414!16s%2Fg%2F11l5mm61vl!19sChIJgbDmiIh9yUARCeOs_3o7C6k?authuser=0&hl=ru&rclk=1,5.0,1,https://4sq.com/2AWoHtE,None,Bar/beer,None
Basilico,"Basilico, Trandafirilor Street 6/2, Chișinău, Moldova",+373 689 99 921,https://maps.app.goo.gl/SFSbvR8y3i2MFfA16,4.4,14,https://basilico.md/,None,Italian Cuisine,"Pizza, pasta"
Beef House,"Strada Arborilor 21, Chișinău, Молдова",+37(379)982232,https://www.google.com/maps/place/Beef+House/data=!4m7!3m6!1s0x40c97f168f76fe45:0xf4b4fec26bce6423!8m2!3d47.0046486!4d28.8410378!16s%2Fg%2F11h3qckg1v!19sChIJRf52jxZ_yUARI2TOa8L-tPQ?authuser=0&hl=ru&rclk=1,3.2,131,http://shoppingmalldova.md/pf/beef-house/?lang=ru,None,Fast Food,None
Beer House,"Beer House, Constantin Negruzzi Blvd 6/2, Chișinău, Moldova",+373 604 44 448,https://maps.app.goo.gl/FLGtUs5ruCHFFNm86,4.4,858,None,None,Bar/beer,None
Berarie DRAFT,"Berarie DRAFT, Strada Eugen Doga 2 A, MD-2060, Chișinău, Moldova",+373 607 01 111,https://maps.app.goo.gl/naHGcmahDzuWjMhJ9,4.0,235,https://instagram.com/berariadraft?igshid=MzRlODBiNWFlZA==,None,Bar/beer,None
Berd's Arome Locale,"Berd's Arome Locale, Dimitrie Cantemir Boulevard. 12, Chișinău, Moldova",+373 621 22 221,https://maps.app.goo.gl/WYFQdniyCdNF8Dps8,4.4,161,None,None,Traditional Moldavian cuisine,None
BIO COCOF,"Strada Vlaicu Pârcălab 70, Chișinău, Молдова",+37(368)330088,https://maps.app.goo.gl/ZQty5ApE443q6bSH6,4.8,86,http://www.biococof.md/,mail,Mixed kitchen,"Healthy food, breakfast, soups"
BIOrganic RAW Café,"BIOrganic RAW Café, 39a,, Mihai Eminescu Street 39, MD-2012, Chișinău, Moldova",+373 784 80 007,https://www.google.com/maps/place/data=!3m1!4b1!4m6!3m5!1s0x40c97c31b767432b:0x8f0c84913b17d0fe!8m2!3d47.0201528!4d28.8339931!16s%2Fg%2F11bz0mstzw?entry=ttu,4.5,358,http://biorganic.md/,None,None,"yogurts, healthy food"
Black Goose Restaurant,Strada Ginta Latină 17/3,+37(368)323333,https://www.google.com/maps/place/Black+Goose+Restaurant/data=!4m7!3m6!1s0x40c979341f44aae9:0x7922dc0c6f59c6d9!8m2!3d47.0371244!4d28.8909738!16s%2Fg%2F11r36jf5zq!19sChIJ6apEHzR5yUAR2cZZbwzcInk?authuser=0&hl=ru&rclk=1,4.0,81,https://blackgoose.md/,None,Mixed kitchen,"Tom Yam, Pizza, Burgers"
Black Rabbit Gastro-Burrow,"Black Rabbit Gastro-Burrow, Vlaicu Pircalab St 45, Chișinău, Moldova",+373 783 33 322,https://maps.app.goo.gl/WD91gpaRAr48qxcw6,4.6,1589,https://blackrabbit.md/,None,Mixed kitchen,None
BlinMaster,"BlinMaster, Sun City Shopping Mall, Alexander Pushkin St 32, MD-2012, Chișinău, Moldova",+373 688 23 537,https://www.google.com/maps/place/data=!3m1!4b1!4m6!3m5!1s0x40c97d28ef5950c9:0x190f400ed003bbb5!8m2!3d47.0253987!4d28.836721!16s%2Fg%2F11h71n65rs?entry=ttu,4.8,165,None,None,Russian kitchen,pancakes
Bon Appetit,"Strada Ismail 84, Chișinău, Молдова",+37(376)000048,https://www.google.com/maps/place/Bon+Appetit/data=!4m7!3m6!1s0x40c97c3cf5df8827:0x2c44f67ee529c901!8m2!3d47.0173736!4d28.8479269!16s%2Fg%2F11flzgk394!19sChIJJ4jf9Tx8yUARAckp5X72RCw?authuser=0&hl=ru&rclk=1,0.0,0,None,None,Traditional Moldavian cuisine,"rolls, traditional bread, hot dogs"
BRO,"Strada Ismail 84, Chișinău",+37(367)202020,https://maps.app.goo.gl/gvfupxSxskRyJghG8,3.9,62,None,None,Fast Food,None
Brother's Pub,"Brother's Pub, Mihai Eminescu Street 29, Chișinău, Moldova",+373 685 40 472,https://www.google.com/maps/place/data=!3m1!4b1!4m6!3m5!1s0x40c97c2e2457693b:0x12cc17aa200a8965!8m2!3d47.0187335!4d28.8320191!16s%2Fg%2F11cn9hbcpt?entry=ttu,4.3,876,https://www.facebook.com/pg/BrothersPUBChisinau,None,Bar/beer,None
Budweiser Grill & Pub,Strada Alexei Şciusev 93,+37(378)893777,https://www.google.com/maps/place/Budweiser+Grill+%26+Pub/data=!4m7!3m6!1s0x40c97c32b3024e1d:0xbfb73ed3877e7e81!8m2!3d47.0221159!4d28.824394!16s%2Fg%2F1q64ld7rr!19sChIJHU4CszJ8yUARgX5-h9M-t78?authuser=0&hl=ru&rclk=1,4.5,1 067,https://m.facebook.com/BudweiserPub/,None,Bar/beer,"Grill, beer"
Buffalo Steak House,"Buffalo Steak House, Strada Vasile Alecsandri 20, Chișinău, Moldova",+373 798 86 677,https://maps.app.goo.gl/ALS5c1MGtWv9VNAU8,4.6,723,http://www.buffalosteakhouse.md/,None,American cuisine,Steaks
Bunătăți de la Marika,"Bunătăți de la Marika, Strada Veronica Micle 1/1, MD-2012, Chișinău, Moldova",+373 691 64 184,https://maps.app.goo.gl/j8jyi2LuJ9i2x7mT7,4.6,105,https://www.facebook.com/bunatatidelamarika,None,Mixed kitchen,"Desserts, cakes"
Black star burger,"Bulevardul Ștefan cel Mare și Sfînt 103, MD-2012, Chișinău, Молдова",+37(368)311133,https://maps.app.goo.gl/NDu1CRMwoEkzNfHg9,3.9,293,None,None,Fast Food,None
Cactus,"Cactus, Armeneasca St 41, Chișinău, Moldova",None,https://maps.app.goo.gl/z6znikxfaB7Dogan7,4.5,342,http://4sq.com/cZ9vqh,None,European cuisine,None
"Cafe ""KRAL-ET","Cafe ""KRAL-ET"", Strada Bogdan Voievod 1/2, MD-5601, Rișkanofka, Moldova",+373 799 93 303,https://www.google.com/maps/place/data=!3m1!4b1!4m6!3m5!1s0x40c97d7e6c712e73:0x7b2e45f118b19707!8m2!3d47.043583!4d28.8591474!16s%2Fg%2F11t063m564?entry=ttu,4.3,34,https://www.instagram.com/kralet_md/,None,Fast Food,"Grill, Shaverma"
Cafe Boulevard,"Cafe Boulevard, Strada Alecu Russo 11, Chișinău, Moldova",None,https://www.google.com/maps/place/data=!3m1!4b1!4m6!3m5!1s0x40c97cf79c6972f3:0x40330c291da48859!8m2!3d47.043682!4d28.867024!16s%2Fg%2F11g6mqm8j5?entry=ttu,4.3,145,https://www.facebook.com/BoulevardCafeChisinau/about/?paipv=0&eav=AfZKzPcvZBRz8D9IXkH4DkN17_WZwG6gl29UlXNpEIEVF6bqeOZkyVBBw3AjDwUHCqI&_rdr,None,Mixed kitchen,None
Café Central,"Café Central, Stefan cel Mare si Sfant Boulevard 103, MD-2012, Chișinău, Moldova",+373 620 02 200,https://www.google.com/maps/place/data=!3m1!4b1!4m6!3m5!1s0x40c97d93beede7b9:0x4e64158d59e6650a!8m2!3d47.0266547!4d28.8285467!16s%2Fg%2F11rn74758j?entry=ttu,4.3,387,https://4sq.com/3eYGBwe,None,European cuisine,"Bakery products, breakfast"
Cafe de Paris,"Cafe de Paris, Decebal Blvd 23/1, MD-2002, Chișinău, Moldova",+373 781 88 847,https://www.google.com/maps/place/data=!3m1!4b1!4m6!3m5!1s0x40c97d0796f26423:0x9265b7b4445c573d!8m2!3d47.0045042!4d28.8607932!16s%2Fg%2F11n2mg97l9?entry=ttu,3.2,25,None,None,European cuisine,French cuisine
Cafe NORTA PLUS,Strada Doina şi Ion Aldea-Teodorovici 11/1,+37(379)647941,https://www.google.com/maps/place/Cafe+NORTA+PLUS/data=!4m7!3m6!1s0x40c97de7e7ab1cf5:0xbe42f1742fd62bcd!8m2!3d47.0287423!4d28.794723!16s%2Fg%2F11d_8t4stt!19sChIJ9Ryr5-d9yUARzSvWL3TxQr4?authuser=0&hl=ru&rclk=1,4.8,279,https://www.facebook.com/NortaCafe/,None,Russian kitchen,"soups, borsch, hodgepodge, okroshka"
Café Sumakh,"Café Sumakh, Mihai Eminescu Street 56, Chișinău, Moldova",+373 788 66 576,https://www.google.com/maps/place/data=!3m1!4b1!4m6!3m5!1s0x40c97d7608c30e3b:0x8a67b1c534982c06!8m2!3d47.0213027!4d28.8362283!16s%2Fg%2F11ry3bc6n4?entry=ttu,5.0,17,https://www.facebook.com/p/Cafe-Sumakh-100063773212131/,None,Mixed kitchen,Azerbaijani cuisine
Caffelatto,"Caffelatto, Decebal Blvd 99, MD-2038, Chișinău, Moldova",+373 695 08 089,https://www.google.com/maps/place/data=!3m1!4b1!4m6!3m5!1s0x40c9794ac8400007:0xd99cc8dbc139893f!8m2!3d46.9913374!4d28.8590831!16s%2Fg%2F11csp8mw_0?entry=ttu,4.3,274,https://www.instagram.com/direct/t/17849439143951095,None,Mixed kitchen,"coffee, pastries"
Caramboli,"Caramboli, Strada Miron Costin 7/1, Chișinău, Moldova",None,https://www.google.com/maps/place/data=!3m1!4b1!4m6!3m5!1s0x40c97cfcf45736ef:0xcb12cd285f101690!8m2!3d47.0507417!4d28.8620933!16s%2Fg%2F11cn6bkwdk?entry=ttu,3.5,49,None,None,None,None
Caramel,"Strada Mitropolit Gavriil Bănulescu-Bodoni 4, Chișinău, Молдова",+37(368)193131,https://maps.app.goo.gl/9XQepap8j8YzQVjz5,4.7,364,None,None,Mixed kitchen,"Desserts, cakes"
Caravan,"Strada Mihai Eminescu 64, MD-2012, Chișinău, Молдова",+373 22 222 405,https://www.google.com/maps/place/Caravan/data=!4m7!3m6!1s0x40c97c372b3ffa2d:0x93303a3765de69f3!8m2!3d47.0227778!4d28.8383333!16s%2Fg%2F1tdn2lsz!19sChIJLfo_Kzd8yUAR82neZTc6MJM?authuser=0&hl=ru&rclk=1,4.5,660,http://www.md4ever.com/caravan,None,European cuisine,East European cuisine
Carmelo,"Carmelo, Strada Veronica Micle 1/1, MD-2012, Chișinău, Moldova",+373 22 260 358,https://maps.app.goo.gl/anafyXu873Hiyzyg8,4.4,383,None,None,Italian Cuisine,"Italian, pizza, Mediterranean,"
Cartal,"Cartal, Alexander Pushkin St 52, Chișinău, Moldova",+373 674 66 777,https://maps.app.goo.gl/yeGmDYz6zxC4LJFy7,4.5,241,None,None,European cuisine,"European, East European"
Casa Della Pizza,"Bulevardul Alexandru cel Bun 9/1, Ialoveni, Молдова",+37(369)497472,https://www.google.com/maps/place/Casa+Della+Pizza/data=!4m7!3m6!1s0x40c97d21049976c7:0xc977b78933973421!8m2!3d47.0195221!4d28.8254435!16s%2Fg%2F11fm3pn_xx!19sChIJx3aZBCF9yUARITSXM4m3d8k?authuser=0&hl=ru&rclk=1,4.7,2279,http://casadellapizza.md/,None,Italian Cuisine,"Italian, pizza"
